id,weight,size,purity,makingCharge,otherCharge,gst,discount,image
gold-rings-royal-diamond,4.5,12,22K,500,200,3,0,
gold-rings-classic-band,3.2,10,22K,400,0,3,50,
gold-rings-simple-elegant,2.8,8,18K,350,0,3,0,
gold-rings-solitaire-diamond,5.0,11,22K,800,3500,3,100,
gold-earrings-jhumka-traditional,8.2,,22K,600,0,3,0,
gold-earrings-stud-diamond,2.5,,22K,400,2000,3,0,
gold-earrings-chandelier,12.0,,22K,1000,5000,3,200,
gold-pendants-om-religious,5.5,,22K,500,0,3,0,
gold-pendants-heart-diamond,3.0,,18K,450,3000,3,0,
gold-bangles-carved-floral,15.5,2.4,22K,1200,0,3,0,
gold-bangles-plain-round,12.0,2.6,22K,800,0,3,100,
gold-bracelets-charm-link,10.0,M,22K,700,0,3,0,
gold-bracelets-chain-classic,8.5,L,22K,600,0,3,0,
gold-nose-pins-small-stud,0.3,,22K,100,0,3,0,
gold-nose-pins-diamond-drop,0.5,,22K,150,500,3,0,
gold-coins-laxmi-goddess,5.0,,24K,200,0,0,0,
gold-coins-ganesh-religious,10.0,,24K,300,0,0,0,
gold-coins-plain-round,8.0,,24K,150,0,0,0,
gold-necklaces-choker-kundan,25.0,,22K,2500,10000,3,500,
gold-necklaces-chain-simple,15.0,,22K,1000,0,3,0,
silver-rings-oxidized-tribal,6.0,11,925,150,0,3,0,
silver-rings-plain-band,4.0,10,925,100,0,3,0,
silver-earrings-stud-simple,2.0,,925,80,0,3,0,
silver-earrings-jhumka-oxidized,8.0,,925,200,0,3,0,
silver-bracelets-chain-modern,18.5,L,925,300,0,3,0,
silver-bracelets-charm-beaded,12.0,M,925,250,0,3,0,
silver-coins-laxmi-puja,20.0,,999,100,0,0,0,
silver-coins-ganesh-puja,50.0,,999,200,0,0,0,
platinum-rings-solitaire-diamond,4.0,10,950,1500,15000,3,0,
platinum-rings-couple-band,3.5,11,950,1200,0,3,0,
platinum-pendants-heart-love,3.5,,950,1000,5000,3,0,
platinum-pendants-cross-diamond,2.5,,950,800,8000,3,100,
